bug_id, prompot_tokens, completion_tokens, gpt4o_total_cost, gpt4o_mini_total_cost
lang_npe_1,4524,732,0.033600000000000005,0.0011178
lang_npe_2,3882,597,0.028365,0.0009404999999999999
lang_npe_3,5576,714,0.03859,0.0012648
lang_npe_4,1775,637,0.018430000000000002,0.00064845
lang_npe_5,2212,802,0.02309,0.0008129999999999999
lang_npe_6,1873,482,0.016595,0.00057015
lang_npe_7,849,499,0.01173,0.00042675000000000005
lang_npe_8,2090,567,0.018955,0.0006536999999999999
lang_npe_9,6467,908,0.045955,0.0015148499999999999
lang_npe_10,4073,667,0.03037,0.00101115
lang_npe_11,2085,354,0.015735,0.0005251499999999999
lang_npe_12,9244,868,0.05924,0.0019074
lang_npe_13,1980,738,0.020970000000000003,0.0007398
math_npe_1,12398,788,0.07381,0.0023325
math_npe_2,31551,804,0.169815,0.00521505
math_npe_3,1344,605,0.015795,0.0005646
collections_npe_1,3551,792,0.029635,0.00100785
collections_npe_2,3513,435,0.02409,0.0007879499999999999
collections_npe_3,3475,1026,0.032765,0.00113685
commons-io_npe_1,2440,601,0.021215,0.0007266
commons-io_npe_2,2919,672,0.024675000000000002,0.00084105
commons-io_npe_3,8640,956,0.05754,0.0018696
commons-io_npe_4,1538,422,0.014020000000000001,0.0004839
commons-io_npe_5,3435,736,0.028215000000000004,0.00095685
commons-io_npe_6,1827,611,0.0183,0.00064065
commons-io_npe_7,1686,633,0.017925,0.0006326999999999999
commons-io_npe_8,1703,844,0.021175,0.0007618499999999999
commons-io_npe_9,1770,669,0.018885,0.0006669
commons-io_npe_10,1163,483,0.013060000000000002,0.00046425
commons-io_npe_11,1600,627,0.017405,0.0006161999999999999
commons-io_npe_12,1151,656,0.015595000000000001,0.0005662499999999999
commons-io_npe_13,2318,608,0.02071,0.0007125
commons-io_npe_14,2140,875,0.023825,0.000846
commons-io_npe_15,2746,831,0.026195000000000003,0.0009105
commons-io_npe_16,3147,906,0.029325000000000004,0.0010156499999999999
commons-io_npe_17,2791,934,0.027965,0.00097905
commons-io_npe_18,2054,785,0.022045000000000002,0.0007791
commons-io_npe_19,1884,1043,0.025065,0.0009084
d4j_chart_2,5161,452,0.032585,0.00104535
d4j_chart_4,61463,990,0.322165,0.00981345
d4j_chart_14,13935,846,0.082365,0.00259785
d4j_chart_16,4627,866,0.036125000000000004,0.00121365
d4j_cli_5,3677,576,0.027025,0.00089715
d4j_cli_30,7336,820,0.04898,0.0015924
d4j_closure_2,82003,596,0.418955,0.012658049999999999
d4j_closure_171,112291,1116,0.578195,0.017513249999999998
d4j_codec_5,4235,1058,0.037045,0.00127005
d4j_codec_13,2260,855,0.024125,0.000852
d4j_codec_17,1501,563,0.01595,0.00056295
d4j_csv_4,3601,669,0.028040000000000002,0.00094155
d4j_csv_9,5152,871,0.038825,0.0012954
d4j_csv_11,8230,1058,0.05702,0.0018693
d4j_gson_6,10971,983,0.06960000000000001,0.00223545
d4j_gson_9,2196,540,0.01908,0.0006533999999999999
d4j_jacksoncore_8,1459,874,0.020405,0.00074325
d4j_jacksondatabind_3,26525,506,0.14021500000000003,0.00428235
d4j_jacksondatabind_13,62626,1183,0.33087500000000003,0.0101037
d4j_jacksondatabind_80,20976,955,0.11920500000000002,0.0037193999999999994
d4j_jacksondatabind_93,67488,970,0.35199,0.010705199999999998
d4j_jacksondatabind_95,10085,870,0.063475,0.00203475
d4j_jacksondatabind_107,96703,837,0.49607,0.015007649999999999
d4j_jsoup_8,14567,966,0.08732500000000001,0.00276465
d4j_jsoup_22,2831,848,0.026875000000000003,0.00093345
d4j_jsoup_26,19568,932,0.11182000000000002,0.0034944
d4j_jsoup_66,25563,752,0.13909500000000002,0.004285649999999999
d4j_jsoup_89,1590,695,0.018375000000000002,0.0006555
d4j_lang_20,2833,604,0.023225000000000003,0.00078735
d4j_lang_33,3259,756,0.027635,0.00094245
d4j_lang_39,2871,896,0.027795,0.0009682499999999999
d4j_lang_47,2149,673,0.02084,0.0007261500000000001
d4j_lang_57,7827,654,0.048945,0.00156645
d4j_math_4,11941,781,0.07142000000000001,0.0022597499999999996
d4j_math_70,1932,886,0.022949999999999998,0.0008214
d4j_math_79,2908,834,0.02705,0.0009366
d4j_mockito_18,8668,847,0.056045000000000005,0.0018084
d4j_mockito_38,6505,756,0.04386500000000001,0.0014293499999999998
