Faulty Code:
com.google.gson.FieldNamingPolicy:31 `public enum FieldNamingPolicy implements FieldNamingStrategy {`
com.google.gson.FieldNamingPolicy:37 `  IDENTITY() {`
com.google.gson.FieldNamingPolicy:53 `  UPPER_CAMEL_CASE() {`
com.google.gson.FieldNamingPolicy:72 `  UPPER_CAMEL_CASE_WITH_SPACES() {`
com.google.gson.FieldNamingPolicy:90 `  LOWER_CASE_WITH_UNDERSCORES() {`
com.google.gson.FieldNamingPolicy:113 `  LOWER_CASE_WITH_DASHES() {`
com.google.gson.Gson:120 `  private final ThreadLocal<Map<TypeToken<?>, FutureTypeAdapter<?>>> calls`
com.google.gson.Gson:123 `  private final Map<TypeToken<?>, TypeAdapter<?>> typeTokenCache`
com.google.gson.Gson:135 `  final JsonDeserializationContext deserializationContext = new JsonDeserializationContext() {`
com.google.gson.Gson:142 `  final JsonSerializationContext serializationContext = new JsonSerializationContext() {`
com.google.gson.Gson:186 `    this(Excluder.DEFAULT, FieldNamingPolicy.IDENTITY,`
com.google.gson.Gson:191 `  }`
com.google.gson.Gson:198 `      List<TypeAdapterFactory> typeAdapterFactories) {`
com.google.gson.Gson:199 `    this.constructorConstructor = new ConstructorConstructor(instanceCreators);`
com.google.gson.Gson:200 `    this.serializeNulls = serializeNulls;`
com.google.gson.Gson:201 `    this.generateNonExecutableJson = generateNonExecutableGson;`
com.google.gson.Gson:202 `    this.htmlSafe = htmlSafe;`
com.google.gson.Gson:203 `    this.prettyPrinting = prettyPrinting;`
com.google.gson.Gson:204 `    this.lenient = lenient;`
com.google.gson.Gson:206 `    List<TypeAdapterFactory> factories = new ArrayList<TypeAdapterFactory>();`
com.google.gson.Gson:209 `    factories.add(TypeAdapters.JSON_ELEMENT_FACTORY);`
com.google.gson.Gson:210 `    factories.add(ObjectTypeAdapter.FACTORY);`
com.google.gson.Gson:213 `    factories.add(excluder);`
com.google.gson.Gson:216 `    factories.addAll(typeAdapterFactories);`
com.google.gson.Gson:219 `    factories.add(TypeAdapters.STRING_FACTORY);`
com.google.gson.Gson:220 `    factories.add(TypeAdapters.INTEGER_FACTORY);`
com.google.gson.Gson:221 `    factories.add(TypeAdapters.BOOLEAN_FACTORY);`
com.google.gson.Gson:222 `    factories.add(TypeAdapters.BYTE_FACTORY);`
com.google.gson.Gson:223 `    factories.add(TypeAdapters.SHORT_FACTORY);`
com.google.gson.Gson:224 `    TypeAdapter<Number> longAdapter = longAdapter(longSerializationPolicy);`
com.google.gson.Gson:225 `    factories.add(TypeAdapters.newFactory(long.class, Long.class, longAdapter));`
com.google.gson.Gson:226 `    factories.add(TypeAdapters.newFactory(double.class, Double.class,`
