Provide a short code description of the following code:
 org.jsoup.Jsoup:44 `        return Parser.parse(html, "");`
org.jsoup.helper.StringUtil:11 `    private static final String[] padding = {"", " ", "  ", "   ", "    ", "     ", "      ", "       ", "        ", "         ", "          "};`
org.jsoup.helper.StringUtil:51 `        if (width < 0)`
org.jsoup.helper.StringUtil:54 `        if (width < padding.length)`
org.jsoup.helper.StringUtil:55 `            return padding[width];`
org.jsoup.helper.Validate:15 `        if (obj == null)`
org.jsoup.helper.Validate:17 `    }`
org.jsoup.helper.Validate:34 `        if (!val)`
org.jsoup.helper.Validate:36 `    }`
org.jsoup.helper.Validate:72 `        if (string == null || string.length() == 0)`
org.jsoup.helper.Validate:74 `    }`
org.jsoup.helper.Validate:82 `        if (string == null || string.length() == 0)`
org.jsoup.helper.Validate:84 `    }`
org.jsoup.nodes.Attribute:21 `    public Attribute(String key, String value) {`
org.jsoup.nodes.Attribute:22 `        Validate.notEmpty(key);`
org.jsoup.nodes.Attribute:23 `        Validate.notNull(value);`
org.jsoup.nodes.Attribute:24 `        this.key = key.trim().toLowerCase();`
org.jsoup.nodes.Attribute:25 `        this.value = value;`
org.jsoup.nodes.Attribute:26 `    }`
org.jsoup.nodes.Attribute:33 `        return key;`
org.jsoup.nodes.Attribute:73 `        accum`
org.jsoup.nodes.Attribute:78 `    }`
org.jsoup.nodes.Attribute:95 `        String value = Entities.unescape(encodedValue);`
org.jsoup.nodes.Attribute:96 `        return new Attribute(unencodedKey, value);`
org.jsoup.nodes.Attribute:118 `        int result = key != null ? key.hashCode() : 0;`
org.jsoup.nodes.Attribute:119 `        result = 31 * result + (value != null ? value.hashCode() : 0);`
org.jsoup.nodes.Attribute:120 `        return result;`
org.jsoup.nodes.Attributes:17 `public class Attributes implements Iterable<Attribute> {`
org.jsoup.nodes.Attributes:20 `    private LinkedHashMap<String, Attribute> attributes = new LinkedHashMap<String, Attribute>(2);`
org.jsoup.nodes.Attributes:51 `        Validate.notNull(attribute);`
org.jsoup.nodes.Attributes:52 `        attributes.put(attribute.getKey(), attribute);`
org.jsoup.nodes.Attributes:53 `    }`
org.jsoup.nodes.Attributes:126 `        for (Map.Entry<String, Attribute> entry : attributes.entrySet()) {`
org.jsoup.nodes.Attributes:127 `            Attribute attribute = entry.getValue();`
org.jsoup.nodes.Attributes:128 `            accum.append(" ");`
org.jsoup.nodes.Attributes:129 `            attribute.html(accum, out);`
org.jsoup.nodes.Attributes:130 `        }`
org.jsoup.nodes.Attributes:131 `    }`
org.jsoup.nodes.Attributes:151 `        return attributes != null ? attributes.hashCode() : 0;`
org.jsoup.nodes.Attributes:154 `    private class Dataset extends AbstractMap<String, String> {`
org.jsoup.nodes.Document:17 `    private OutputSettings outputSettings = new OutputSettings();`
org.jsoup.nodes.Document:26 `        super(Tag.valueOf("#root"), baseUri);`
org.jsoup.nodes.Document:27 `    }`
org.jsoup.nodes.Document:50 `        return findFirstElementByTagName("head", this);`
org.jsoup.nodes.Document:58 `        return findFirstElementByTagName("body", this);`
org.jsoup.nodes.Document:100 `        Element htmlEl = findFirstElementByTagName("html", this);`
org.jsoup.nodes.Document:101 `        if (htmlEl == null)`
org.jsoup.nodes.Document:103 `        if (head() == null)`
org.jsoup.nodes.Document:105 `        if (body() == null)`
org.jsoup.nodes.Document:110 `        normaliseTextNodes(head());`
org.jsoup.nodes.Document:111 `        normaliseTextNodes(htmlEl);`
org.jsoup.nodes.Document:112 `        normaliseTextNodes(this);`
org.jsoup.nodes.Document:114 `        normaliseStructure("head", htmlEl);`
org.jsoup.nodes.Document:115 `        normaliseStructure("body", htmlEl);`
org.jsoup.nodes.Document:117 `        return this;`
org.jsoup.nodes.Document:122 `        List<Node> toMove = new ArrayList<Node>();`
org.jsoup.nodes.Document:123 `        for (Node node: element.childNodes) {`
org.jsoup.nodes.Document:124 `            if (node instanceof TextNode) {`
org.jsoup.nodes.Document:129 `        }`
org.jsoup.nodes.Document:131 `        for (int i = toMove.size()-1; i >= 0; i--) {`
org.jsoup.nodes.Document:137 `    }`
org.jsoup.nodes.Document:141 `        Elements elements = this.getElementsByTag(tag);`
org.jsoup.nodes.Document:142 `        Element master = elements.first(); // will always be available as created above if not existent`
org.jsoup.nodes.Document:143 `        if (elements.size() > 1) { // dupes, move contents to master`
org.jsoup.nodes.Document:156 `        if (!master.parent().equals(htmlEl)) {`
